抓取日期,代碼,簡稱,下櫃日期
2026-09-03,15601,中砂一,115/09/03
2026-09-03,66722,騰輝電子二KY,115/09/02
2026-09-03,66721,騰輝電子一KY,115/09/02
2026-09-03,15865,和勤五,115/09/01
2026-09-03,30882,艾訊二,115/08/31
2026-09-03,15864,和勤四,115/08/31
2026-09-03,89964,高力四,115/08/28
2026-09-03,67961,晉弘一,115/08/26
2026-09-03,23683,金像電三,115/08/21
2026-09-03,64145,樺漢五,115/08/17
2026-09-03,24624,良得電四,115/08/12
2026-09-03,82551,朋程一,115/08/10
2026-09-03,65842,南俊國際二,115/08/10
2026-09-03,65841,南俊國際一,115/08/10
2026-09-03,53095,系統電五,115/08/10
2026-09-03,370201,大聯大E1,115/08/10
2026-09-03,24642,盟立二,115/08/10
2026-09-03,64773,安集三,115/08/05
2026-09-03,23383,光罩三,115/08/04
2026-09-03,50097,榮剛七,115/08/03
2026-09-03,20662,世德二,115/08/03
2026-09-03,61827,合晶七,115/07/28
2026-09-03,84662,美吉吉二KY,115/07/27
2026-09-03,61793,亞通三,115/07/27
2026-09-03,52303,雷笛克光學三,115/07/27
2026-09-03,37023,大聯大三,115/07/27
2026-09-03,37022,大聯大二,115/07/27
2026-09-03,49674,十銓四,115/07/20
2026-09-03,24866,一詮六,115/07/20
2026-09-03,32608,威剛八,115/07/10
2026-09-03,35832,辛耘二,115/07/08
2026-09-03,35831,辛耘一,115/07/08
2026-09-03,62756,元山六,115/07/06
2026-09-03,31282,昇銳二,115/07/06
2026-09-03,30922,鴻碩二,115/07/06
2026-09-03,54342,崇越二,115/06/30
2026-09-03,62745,台燿五,115/06/29
2026-09-03,15894,永冠四KY,115/06/29
2026-09-03,31351,凌航一,115/06/25
2026-09-03,64423,光聖三,115/06/24
2026-09-03,68061,森崴能源一,115/06/23
2026-09-03,68041,明係一,115/06/22
2026-09-03,56086,四維航六,115/06/22
2026-09-03,35871,閎康一,115/06/22
2026-09-03,47471,強生一,115/06/15
2026-09-03,64422,光聖二,115/06/12
2026-09-03,60151,宏遠證一,115/06/12
2026-09-03,67152,嘉基二,115/06/11
2026-09-03,49066,正文六,115/06/03
2026-09-03,33233,加百裕三,115/06/03
